Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,2830.0,2915.0,2801.0,2902.0,2785.45947265625,53200
2019-01-07,2995.0,3025.0,2928.0,2935.0,2817.13427734375,57900
2019-01-08,2964.0,2978.0,2913.0,2956.0,2837.290771484375,38300
2019-01-09,2987.0,2987.0,2880.0,2909.0,2792.178466796875,56500
2019-01-10,2863.0,2927.0,2834.0,2922.0,2804.656494140625,40600
2019-01-11,2971.0,2978.0,2894.0,2918.0,2800.81689453125,33200
2019-01-15,2908.0,3005.0,2883.0,2947.0,2828.652099609375,61600
2019-01-16,2945.0,2945.0,2880.0,2900.0,2783.539794921875,41800
2019-01-17,2905.0,2943.0,2889.0,2911.0,2794.09814453125,32800
2019-01-18,2919.0,2970.0,2914.0,2924.0,2806.575927734375,46900
2019-01-21,2929.0,3020.0,2910.0,2983.0,2863.20654296875,62100
2019-01-22,2985.0,2985.0,2916.0,2941.0,2822.893310546875,35000
2019-01-23,2901.0,2976.0,2896.0,2945.0,2826.732666015625,39500
2019-01-24,2935.0,3010.0,2918.0,2990.0,2869.925537109375,38100
2019-01-25,2960.0,2996.0,2930.0,2930.0,2812.335205078125,34000
2019-01-28,2917.0,2935.0,2891.0,2908.0,2791.21875,59600
2019-01-29,2888.0,2939.0,2871.0,2920.0,2802.736572265625,52600
2019-01-30,3000.0,3070.0,2975.0,3000.0,2879.5244140625,157300
2019-01-31,3005.0,3095.0,2975.0,3015.0,2893.92138671875,90100
2019-02-01,2997.0,3025.0,2925.0,2933.0,2815.214599609375,66900
2019-02-04,2937.0,2997.0,2937.0,2961.0,2842.090087890625,97000
2019-02-05,2952.0,3010.0,2946.0,3010.0,2889.122314453125,77400
2019-02-06,3025.0,3070.0,3010.0,3025.0,2903.52001953125,70500
2019-02-07,3030.0,3065.0,3020.0,3040.0,2917.917724609375,89400
2019-02-08,3005.0,3030.0,2989.0,2992.0,2871.84521484375,89200
2019-02-12,2998.0,3090.0,2992.0,3085.0,2961.1103515625,94900
2019-02-13,3100.0,3105.0,3040.0,3060.0,2937.114501953125,85200
2019-02-14,3060.0,3085.0,3035.0,3055.0,2932.315185546875,67000
2019-02-15,3055.0,3055.0,3005.0,3025.0,2903.52001953125,72800
2019-02-18,3070.0,3115.0,3060.0,3080.0,2956.311279296875,80800
2019-02-19,3100.0,3100.0,3045.0,3065.0,2941.91357421875,74400
2019-02-20,3065.0,3090.0,3045.0,3065.0,2941.91357421875,86100
2019-02-21,3065.0,3065.0,3000.0,3015.0,2893.92138671875,79000
2019-02-22,2995.0,2995.0,2938.0,2958.0,2839.210693359375,106400
