Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,735.0,762.0,727.0,760.0,643.9694213867188,71800
2019-01-07,784.0,785.0,755.0,759.0,643.1220092773438,84400
2019-01-08,755.0,773.0,755.0,763.0,646.5113525390625,63800
2019-01-09,766.0,770.0,756.0,762.0,645.6640014648438,39700
2019-01-10,752.0,774.0,752.0,771.0,653.2900390625,54500
2019-01-11,771.0,786.0,767.0,776.0,657.5266723632812,58900
2019-01-15,762.0,785.0,762.0,778.0,659.2213134765625,48000
2019-01-16,774.0,777.0,764.0,768.0,650.7479858398438,33100
2019-01-17,768.0,783.0,753.0,758.0,642.2747802734375,94800
2019-01-18,763.0,773.0,753.0,753.0,638.0380249023438,46300
2019-01-21,760.0,765.0,748.0,759.0,643.1220092773438,73700
2019-01-22,769.0,769.0,743.0,748.0,633.8014526367188,31700
2019-01-23,740.0,755.0,732.0,743.0,629.5648193359375,62800
2019-01-24,743.0,749.0,736.0,743.0,629.5648193359375,37200
2019-01-25,743.0,757.0,734.0,747.0,632.9541015625,56400
2019-01-28,742.0,747.0,718.0,720.0,610.0762329101562,95800
2019-01-29,718.0,721.0,709.0,715.0,605.8396606445312,80500
2019-01-30,719.0,733.0,715.0,718.0,608.381591796875,141700
2019-01-31,723.0,728.0,712.0,714.0,604.9923095703125,71000
2019-02-01,714.0,714.0,685.0,685.0,580.4197998046875,83600
2019-02-04,695.0,706.0,689.0,698.0,591.4349975585938,82500
2019-02-05,696.0,702.0,691.0,692.0,586.35107421875,61700
2019-02-06,690.0,691.0,679.0,684.0,579.5724487304688,94600
2019-02-07,685.0,688.0,671.0,680.0,576.18310546875,66900
2019-02-08,671.0,679.0,662.0,670.0,567.7098388671875,79600
2019-02-12,676.0,693.0,672.0,684.0,579.5724487304688,99800
2019-02-13,694.0,707.0,691.0,702.0,594.8243408203125,123900
2019-02-14,704.0,707.0,695.0,702.0,594.8243408203125,50700
2019-02-15,699.0,708.0,687.0,703.0,595.6716918945312,48300
2019-02-18,718.0,725.0,707.0,719.0,609.2289428710938,56700
2019-02-19,726.0,726.0,712.0,717.0,607.5343017578125,28100
2019-02-20,715.0,724.0,704.0,707.0,599.06103515625,55300
2019-02-21,711.0,715.0,701.0,710.0,601.6029663085938,36900
2019-02-22,709.0,709.0,700.0,706.0,598.213623046875,31700
2019-02-25,705.0,716.0,705.0,711.0,602.4503173828125,30400
2019-02-26,716.0,718.0,706.0,715.0,605.8396606445312,46500
2019-02-27,723.0,725.0,709.0,717.0,607.5343017578125,50200
2019-02-28,712.0,716.0,705.0,710.0,601.6029663085938,64500
2019-03-01,715.0,734.0,715.0,723.0,612.6182861328125,52100
2019-03-04,735.0,742.0,730.0,739.0,626.1754760742188,74600
2019-03-05,728.0,739.0,725.0,734.0,621.9388427734375,51900
2019-03-06,730.0,756.0,730.0,749.0,634.6488037109375,98500
2019-03-07,741.0,752.0,734.0,745.0,631.2594604492188,87500
2019-03-08,745.0,745.0,729.0,734.0,621.9388427734375,189500
2019-03-11,734.0,734.0,709.0,712.0,603.2976684570312,32200
2019-03-12,721.0,742.0,721.0,739.0,626.1754760742188,36500
