Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,5180.0,5244.0,5101.0,5217.0,4884.2490234375,2903200
2019-01-07,5317.0,5387.0,5309.0,5376.0,5033.10791015625,2680500
2019-01-08,5383.0,5426.0,5345.0,5376.0,5033.10791015625,2653600
2019-01-09,5381.0,5428.0,5315.0,5319.0,4979.7431640625,1982400
2019-01-10,5250.0,5280.0,5174.0,5219.0,4886.12158203125,2674700
2019-01-11,5214.0,5240.0,5167.0,5185.0,4854.2900390625,2156700
2019-01-15,5185.0,5255.0,5185.0,5219.0,4886.12158203125,2149200
2019-01-16,5206.0,5228.0,5158.0,5228.0,4894.5478515625,1708700
2019-01-17,5252.0,5319.0,5245.0,5302.0,4963.82763671875,1514200
2019-01-18,5373.0,5380.0,5329.0,5330.0,4990.0419921875,1918400
2019-01-21,5343.0,5360.0,5290.0,5338.0,4997.53125,1422900
2019-01-22,5306.0,5338.0,5297.0,5322.0,4982.5517578125,1422400
2019-01-23,5271.0,5353.0,5270.0,5304.0,4965.7001953125,1601500
2019-01-24,5264.0,5330.0,5241.0,5301.0,4962.89111328125,1463400
2019-01-25,5371.0,5420.0,5349.0,5369.0,5026.55419921875,1849700
2019-01-28,5322.0,5337.0,5285.0,5285.0,4947.912109375,1467100
2019-01-29,5282.0,5299.0,5237.0,5277.0,4940.42236328125,1557500
2019-01-30,5295.0,5298.0,5237.0,5266.0,4930.1240234375,2261100
2019-01-31,5340.0,5366.0,5297.0,5312.0,4973.189453125,1902600
2019-02-01,5290.0,5391.0,5285.0,5295.0,4957.2744140625,1797100
2019-02-04,5339.0,5402.0,5327.0,5392.0,5048.08740234375,1482600
2019-02-05,5443.0,5449.0,5387.0,5400.0,5055.5771484375,1397400
2019-02-06,5405.0,5455.0,5386.0,5401.0,5056.51318359375,1554000
2019-02-07,5386.0,5398.0,5314.0,5341.0,5000.34033203125,1282000
2019-02-08,5297.0,5311.0,5236.0,5269.0,4932.9326171875,2069000
2019-02-12,5240.0,5401.0,5239.0,5349.0,5007.830078125,2469200
2019-02-13,5402.0,5408.0,5367.0,5405.0,5060.2587890625,1763100
2019-02-14,5365.0,5437.0,5360.0,5420.0,5074.3017578125,2008200
2019-02-15,5354.0,5391.0,5268.0,5381.0,5037.7890625,2438700
2019-02-18,5450.0,5502.0,5446.0,5484.0,5134.2197265625,1802800
2019-02-19,5503.0,5591.0,5502.0,5557.0,5202.56298828125,2232800
2019-02-20,5589.0,5598.0,5541.0,5570.0,5214.734375,1975500
2019-02-21,5577.0,5598.0,5545.0,5571.0,5215.669921875,1611800
2019-02-22,5571.0,5589.0,5502.0,5503.0,5152.0078125,1847600
2019-02-25,5540.0,5550.0,5519.0,5533.0,5180.0947265625,1600600
2019-02-26,5525.0,5541.0,5475.0,5489.0,5138.90087890625,1764400
2019-02-27,5461.0,5472.0,5421.0,5426.0,5079.9189453125,2342500
2019-02-28,5457.0,5473.0,5426.0,5426.0,5079.9189453125,4423100
2019-03-01,5436.0,5450.0,5390.0,5436.0,5089.28076171875,2541700
2019-03-04,5450.0,5457.0,5350.0,5369.0,5026.55419921875,2971600
2019-03-05,5340.0,5390.0,5329.0,5378.0,5034.97998046875,2227800
2019-03-06,5397.0,5415.0,5379.0,5396.0,5051.83203125,2540400
