Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,899.0,928.0,888.0,924.0,832.0750732421875,98400
2019-01-07,954.0,998.0,954.0,969.0,872.5982055664062,65300
2019-01-08,980.0,999.0,978.0,989.0,890.6085205078125,50300
2019-01-09,1004.0,1019.0,976.0,982.0,884.3048706054688,106500
2019-01-10,976.0,980.0,950.0,961.0,865.3941040039062,63800
2019-01-11,960.0,968.0,946.0,950.0,855.4884643554688,42400
2019-01-15,935.0,979.0,935.0,978.0,880.7028198242188,49000
2019-01-16,987.0,991.0,963.0,966.0,869.8966674804688,32000
2019-01-17,976.0,997.0,961.0,970.0,873.4987182617188,42500
2019-01-18,969.0,1002.0,967.0,996.0,896.912109375,41600
2019-01-21,1004.0,1032.0,1004.0,1011.0,910.4197998046875,44300
2019-01-22,1011.0,1026.0,994.0,1001.0,901.4146728515625,30100
2019-01-23,979.0,1001.0,972.0,989.0,890.6085205078125,36000
2019-01-24,989.0,995.0,972.0,991.0,892.4095458984375,25600
2019-01-25,996.0,1013.0,987.0,997.0,897.8126220703125,31100
2019-01-28,1008.0,1008.0,988.0,990.0,891.5089721679688,29100
2019-01-29,992.0,993.0,974.0,987.0,888.8074340820312,38200
2019-01-30,993.0,993.0,963.0,963.0,867.1951293945312,43700
2019-01-31,972.0,979.0,959.0,970.0,873.4987182617188,34200
2019-02-01,958.0,964.0,950.0,955.0,859.9910278320312,27000
2019-02-04,966.0,983.0,962.0,972.0,875.2997436523438,32100
2019-02-05,975.0,992.0,975.0,984.0,886.1058959960938,32300
2019-02-06,984.0,985.0,970.0,977.0,879.8023071289062,39500
2019-02-07,977.0,994.0,965.0,978.0,880.7028198242188,103900
2019-02-08,978.0,990.0,932.0,990.0,891.5089721679688,89600
2019-02-12,1006.0,1055.0,999.0,1044.0,940.1367797851562,158100
2019-02-13,1040.0,1075.0,1039.0,1052.0,947.3408813476562,100700
2019-02-14,1055.0,1060.0,1035.0,1040.0,936.53466796875,39500
2019-02-15,1026.0,1026.0,1005.0,1010.0,909.519287109375,37100
2019-02-18,1031.0,1054.0,1024.0,1053.0,948.2413940429688,57100
2019-02-19,1053.0,1057.0,1031.0,1041.0,937.4352416992188,74200
2019-02-20,1041.0,1055.0,1036.0,1037.0,933.8331298828125,44200
2019-02-21,1045.0,1049.0,1026.0,1032.0,929.33056640625,48300
