Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,850.0,888.0,834.0,888.0,876.9291381835938,14800
2019-01-07,900.0,924.0,888.0,888.0,876.9291381835938,23000
2019-01-08,892.0,940.0,892.0,929.0,917.41796875,22200
2019-01-09,914.0,921.0,906.0,909.0,897.6672973632812,16200
2019-01-10,918.0,918.0,865.0,877.0,866.0662231445312,21200
2019-01-11,881.0,900.0,878.0,900.0,888.779541015625,10100
2019-01-15,885.0,918.0,885.0,916.0,904.5800170898438,14500
2019-01-16,915.0,916.0,889.0,898.0,886.804443359375,12100
2019-01-17,913.0,913.0,888.0,893.0,881.8667602539062,17500
2019-01-18,896.0,913.0,890.0,891.0,879.8917236328125,15600
2019-01-21,903.0,903.0,875.0,893.0,881.8667602539062,31500
2019-01-22,893.0,894.0,862.0,863.0,852.2408447265625,26500
2019-01-23,861.0,867.0,850.0,862.0,851.2532958984375,14200
2019-01-24,862.0,876.0,850.0,865.0,854.2158203125,26400
2019-01-25,870.0,910.0,870.0,885.0,873.9664916992188,44800
2019-01-28,930.0,977.0,920.0,952.0,940.1312255859375,67600
2019-01-29,925.0,963.0,925.0,953.0,941.1187744140625,16900
2019-01-30,970.0,975.0,948.0,967.0,954.9441528320312,20400
2019-01-31,960.0,970.0,950.0,950.0,938.1561279296875,15900
2019-02-01,957.0,970.0,942.0,966.0,953.9566650390625,16900
2019-02-04,976.0,1009.0,969.0,1004.0,991.48291015625,30900
2019-02-05,1005.0,1023.0,980.0,1015.0,1002.3458251953125,21300
2019-02-06,1008.0,1020.0,999.0,1004.0,991.48291015625,11600
2019-02-07,1009.0,1010.0,967.0,999.0,986.5452880859375,20700
2019-02-08,985.0,985.0,931.0,957.0,945.0689086914062,39900
2019-02-12,1055.0,1107.0,1029.0,1107.0,1093.1988525390625,82600
2019-02-13,1109.0,1150.0,1086.0,1123.0,1108.999267578125,82800
2019-02-14,1138.0,1148.0,1108.0,1140.0,1125.787353515625,35900
2019-02-15,1143.0,1204.0,1102.0,1199.0,1184.0517578125,48000
2019-02-18,1185.0,1224.0,1171.0,1202.0,1187.0142822265625,60700
2019-02-19,1202.0,1202.0,1163.0,1188.0,1173.18896484375,24200
2019-02-20,1182.0,1199.0,1166.0,1178.0,1163.3134765625,24200
2019-02-21,1162.0,1212.0,1162.0,1202.0,1187.0142822265625,30900
2019-02-22,1181.0,1198.0,1171.0,1175.0,1160.35107421875,14100
2019-02-25,1190.0,1190.0,1160.0,1175.0,1160.35107421875,21100
2019-02-26,1185.0,1194.0,1148.0,1170.0,1155.4134521484375,41600
2019-02-27,1159.0,1174.0,1158.0,1163.0,1148.500732421875,7100
2019-02-28,1350.0,1463.0,1335.0,1463.0,1444.7603759765625,608200
2019-03-01,1463.0,1520.0,1321.0,1500.0,1481.299072265625,315300
2019-03-04,1520.0,1565.0,1503.0,1555.0,1535.6134033203125,99400
2019-03-05,1535.0,1574.0,1491.0,1492.0,1473.39892578125,71400
2019-03-06,1450.0,1481.0,1435.0,1462.0,1443.77294921875,45900
2019-03-07,1446.0,1446.0,1368.0,1370.0,1352.919921875,77400
2019-03-08,1350.0,1362.0,1315.0,1335.0,1318.3563232421875,43400
2019-03-11,1337.0,1450.0,1337.0,1435.0,1417.109619140625,35500
2019-03-12,1402.0,1497.0,1402.0,1481.0,1462.5361328125,32600
2019-03-13,1436.0,1469.0,1430.0,1441.0,1423.03466796875,13900
2019-03-14,1490.0,1493.0,1412.0,1426.0,1408.2218017578125,12800
2019-03-15,1434.0,1480.0,1419.0,1478.0,1459.5736083984375,24700
2019-03-18,1500.0,1564.0,1500.0,1558.0,1538.5760498046875,57300
2019-03-19,1539.0,1547.0,1507.0,1520.0,1501.0498046875,12100
2019-03-20,1537.0,1579.0,1520.0,1573.0,1553.3890380859375,40900
2019-03-22,1548.0,1573.0,1547.0,1571.0,1551.4139404296875,15800
2019-03-25,1500.0,1519.0,1481.0,1509.0,1490.18701171875,30500
2019-03-26,1496.0,1535.0,1496.0,1524.0,1505.0,14700
2019-03-27,1483.0,1600.0,1483.0,1586.0,1571.38232421875,38500
2019-03-28,1587.0,1587.0,1539.0,1558.0,1543.6405029296875,16600
2019-03-29,1551.0,1600.0,1551.0,1597.0,1582.281005859375,42300
2019-04-01,1601.0,1640.0,1601.0,1613.0,1598.133544921875,31400
2019-04-02,1635.0,1677.0,1625.0,1629.0,1613.9862060546875,48000
2019-04-03,1615.0,1659.0,1611.0,1653.0,1637.764892578125,37600
2019-04-04,1675.0,1788.0,1674.0,1761.0,1744.7694091796875,106100
2019-04-05,1760.0,1766.0,1707.0,1748.0,1731.8892822265625,38000
2019-04-08,1748.0,1760.0,1709.0,1724.0,1708.110595703125,21700
2019-04-09,1711.0,1720.0,1664.0,1709.0,1693.2486572265625,24900
2019-04-10,1729.0,1742.0,1702.0,1726.0,1710.0921630859375,19600
2019-04-11,1711.0,1717.0,1669.0,1709.0,1693.2486572265625,22300
2019-04-12,1692.0,1795.0,1678.0,1782.0,1765.575927734375,74000
2019-04-15,1787.0,1820.0,1743.0,1754.0,1737.833984375,40300
2019-04-16,1728.0,1755.0,1719.0,1727.0,1711.082763671875,20500
2019-04-17,1724.0,1813.0,1724.0,1802.0,1785.3917236328125,36800
2019-04-18,1770.0,1874.0,1769.0,1857.0,1839.8846435546875,90800
2019-04-19,1877.0,1919.0,1860.0,1885.0,1867.6265869140625,71400
2019-04-22,1867.0,1900.0,1817.0,1819.0,1802.23486328125,48300
2019-04-23,1806.0,1828.0,1756.0,1782.0,1765.575927734375,53400
2019-04-24,1780.0,1804.0,1703.0,1732.0,1716.036865234375,46200
2019-04-25,1742.0,1776.0,1710.0,1772.0,1755.6680908203125,19800
2019-04-26,1740.0,1780.0,1711.0,1767.0,1750.714111328125,22700
2019-05-07,1720.0,1728.0,1671.0,1716.0,1700.184326171875,42600
2019-05-08,1666.0,1748.0,1648.0,1736.0,1719.9998779296875,31400
2019-05-09,1734.0,1734.0,1632.0,1640.0,1624.884765625,22600
2019-05-10,1640.0,1647.0,1580.0,1598.0,1583.2718505859375,34000
2019-05-13,1878.0,1997.0,1821.0,1994.0,1975.6219482421875,317700
2019-05-14,1848.0,1965.0,1847.0,1900.0,1882.4884033203125,122600
2019-05-15,1870.0,1922.0,1830.0,1919.0,1901.3133544921875,55900
2019-05-16,1926.0,2025.0,1920.0,1966.0,1947.8800048828125,116300
2019-05-17,1999.0,2005.0,1970.0,1980.0,1961.7510986328125,35500
2019-05-20,1946.0,1986.0,1904.0,1907.0,1889.4239501953125,34000
2019-05-21,1881.0,1881.0,1800.0,1810.0,1793.3179931640625,56100
2019-05-22,1845.0,1848.0,1782.0,1798.0,1781.4283447265625,29700
2019-05-23,1798.0,1798.0,1686.0,1758.0,1741.7972412109375,76000
2019-05-24,1718.0,1779.0,1712.0,1758.0,1741.7972412109375,27200
2019-05-27,1780.0,1794.0,1742.0,1747.0,1730.8985595703125,14800
2019-05-28,1744.0,1759.0,1725.0,1748.0,1731.8892822265625,19800
2019-05-29,1719.0,1746.0,1667.0,1700.0,1684.331787109375,37200
2019-05-30,1683.0,1696.0,1638.0,1663.0,1647.6727294921875,50600
2019-05-31,1650.0,1650.0,1605.0,1613.0,1598.133544921875,48700
2019-06-03,1593.0,1593.0,1531.0,1566.0,1551.5667724609375,44100
2019-06-04,1543.0,1583.0,1528.0,1568.0,1553.54833984375,31800
2019-06-05,1625.0,1645.0,1610.0,1642.0,1626.8662109375,20500
2019-06-06,1650.0,1652.0,1616.0,1617.0,1602.0966796875,18900
2019-06-07,1628.0,1684.0,1612.0,1670.0,1654.608154296875,29100
2019-06-10,1710.0,1748.0,1672.0,1731.0,1715.0460205078125,23100
2019-06-11,1743.0,1744.0,1672.0,1687.0,1671.4515380859375,33800
2019-06-12,1681.0,1719.0,1642.0,1719.0,1703.15673828125,14100
2019-06-13,1718.0,1824.0,1698.0,1798.0,1781.4283447265625,73200
2019-06-14,1791.0,1805.0,1752.0,1796.0,1779.4468994140625,33200
2019-06-17,1800.0,1805.0,1770.0,1801.0,1784.40087890625,15200
2019-06-18,1815.0,1830.0,1750.0,1763.0,1746.7510986328125,24100
2019-06-19,1803.0,1825.0,1789.0,1797.0,1780.437744140625,17600
2019-06-20,1793.0,1834.0,1778.0,1829.0,1812.142822265625,18800
2019-06-21,1823.0,1843.0,1814.0,1831.0,1814.1243896484375,12200
2019-06-24,1796.0,1838.0,1786.0,1826.0,1809.17041015625,22100
2019-06-25,1835.0,1891.0,1830.0,1848.0,1830.9676513671875,26200
2019-06-26,1833.0,1859.0,1811.0,1815.0,1798.2718505859375,18200
2019-06-27,1819.0,1942.0,1819.0,1919.0,1901.3133544921875,50500
2019-06-28,1910.0,1971.0,1885.0,1900.0,1882.4884033203125,43500
2019-07-01,1900.0,1929.0,1853.0,1870.0,1852.764892578125,75000
2019-07-02,1869.0,1870.0,1804.0,1836.0,1819.078369140625,40600
2019-07-03,1829.0,1829.0,1745.0,1774.0,1757.649658203125,60100
2019-07-04,1776.0,1781.0,1742.0,1751.0,1734.8616943359375,38800
2019-07-05,1754.0,1754.0,1706.0,1719.0,1703.15673828125,66600
2019-07-08,1714.0,1739.0,1711.0,1734.0,1718.018310546875,30400
2019-07-09,1734.0,1734.0,1662.0,1680.0,1664.5159912109375,34500
2019-07-10,1677.0,1706.0,1632.0,1698.0,1682.3502197265625,24900
2019-07-11,1721.0,1721.0,1700.0,1721.0,1705.13818359375,7400
2019-07-12,1708.0,1716.0,1599.0,1620.0,1605.0689697265625,83900
2019-07-16,1625.0,1655.0,1616.0,1648.0,1632.81103515625,18700
2019-07-17,1648.0,1648.0,1608.0,1625.0,1610.02294921875,14700
2019-07-18,1625.0,1625.0,1533.0,1561.0,1546.61279296875,63300
2019-07-19,1579.0,1597.0,1548.0,1597.0,1582.281005859375,39400
2019-07-22,1601.0,1617.0,1591.0,1604.0,1589.216552734375,12000
2019-07-23,1620.0,1694.0,1616.0,1688.0,1672.4422607421875,32400
2019-07-24,1690.0,1710.0,1680.0,1700.0,1684.331787109375,18400
2019-07-25,1727.0,1769.0,1714.0,1760.0,1743.7786865234375,32500
2019-07-26,1749.0,1767.0,1730.0,1747.0,1730.8985595703125,19900
2019-07-29,1782.0,1789.0,1732.0,1741.0,1724.953857421875,33600
2019-07-30,1737.0,1756.0,1709.0,1756.0,1739.8155517578125,26100
2019-07-31,1746.0,1763.0,1741.0,1762.0,1745.76025390625,10300
2019-08-01,1749.0,1760.0,1697.0,1750.0,1733.8709716796875,15700
2019-08-02,1689.0,1713.0,1661.0,1677.0,1661.543701171875,29000
2019-08-05,1649.0,1681.0,1573.0,1615.0,1600.1151123046875,32300
2019-08-06,1515.0,1614.0,1515.0,1600.0,1585.25341796875,28800
2019-08-07,1615.0,1629.0,1582.0,1625.0,1610.02294921875,18500
2019-08-08,1624.0,1660.0,1615.0,1622.0,1607.0506591796875,16400
2019-08-09,1660.0,1681.0,1617.0,1673.0,1657.58056640625,36900
2019-08-13,1737.0,1806.0,1727.0,1775.0,1758.6405029296875,115200
2019-08-14,1811.0,1847.0,1800.0,1817.0,1800.2532958984375,50800
2019-08-15,1749.0,1812.0,1749.0,1795.0,1778.4560546875,37000
2019-08-16,1795.0,1825.0,1788.0,1810.0,1793.3179931640625,36000
2019-08-19,1835.0,1835.0,1771.0,1779.0,1762.6036376953125,35300
2019-08-20,1782.0,1815.0,1749.0,1810.0,1793.3179931640625,23700
2019-08-21,1799.0,1799.0,1756.0,1763.0,1746.7510986328125,15900
2019-08-22,1780.0,1808.0,1755.0,1771.0,1754.677490234375,17900
2019-08-23,1771.0,1777.0,1727.0,1767.0,1750.714111328125,30800
2019-08-26,1704.0,1793.0,1704.0,1753.0,1736.84326171875,22900
2019-08-27,1760.0,1790.0,1741.0,1781.0,1764.585205078125,18900
2019-08-28,1769.0,1780.0,1757.0,1773.0,1756.658935546875,19900
2019-08-29,1775.0,1805.0,1766.0,1800.0,1783.41015625,16100
2019-08-30,1821.0,1905.0,1821.0,1886.0,1868.617431640625,58900
2019-09-02,1909.0,1926.0,1860.0,1921.0,1903.2947998046875,56600
2019-09-03,1881.0,1948.0,1880.0,1933.0,1915.184326171875,57800
2019-09-04,1929.0,1936.0,1911.0,1925.0,1907.258056640625,30500
2019-09-05,1929.0,1992.0,1918.0,1964.0,1945.8985595703125,84000
2019-09-06,2004.0,2154.0,2004.0,2130.0,2110.368408203125,221100
2019-09-09,2150.0,2275.0,2141.0,2194.0,2173.778564453125,179400
2019-09-10,2204.0,2231.0,2144.0,2200.0,2179.723388671875,142000
2019-09-11,2200.0,2207.0,2102.0,2188.0,2167.833984375,94600
2019-09-12,2166.0,2235.0,2125.0,2219.0,2198.548095703125,126600
2019-09-13,2250.0,2350.0,2250.0,2309.0,2287.718505859375,163500
2019-09-17,2270.0,2298.0,2203.0,2225.0,2204.4931640625,104800
2019-09-18,2250.0,2269.0,2128.0,2150.0,2130.184326171875,67000
2019-09-19,2189.0,2290.0,2180.0,2204.0,2183.686767578125,93800
2019-09-20,2204.0,2259.0,2180.0,2231.0,2210.437744140625,38500
2019-09-24,2239.0,2325.0,2239.0,2296.0,2274.838623046875,64200
2019-09-25,2300.0,2300.0,2220.0,2223.0,2202.51123046875,51200
2019-09-26,2223.0,2290.0,2187.0,2229.0,2208.456298828125,79600
2019-09-27,2245.0,2318.0,2235.0,2318.0,2306.98583984375,68800
2019-09-30,2368.0,2435.0,2321.0,2430.0,2418.45361328125,101600
2019-10-01,2420.0,2492.0,2369.0,2487.0,2475.1826171875,88800
2019-10-02,2437.0,2460.0,2414.0,2415.0,2403.52490234375,59500
2019-10-03,2353.0,2399.0,2341.0,2369.0,2357.743408203125,35400
2019-10-04,2419.0,2577.0,2415.0,2540.0,2527.9306640625,118400
2019-10-07,2577.0,2780.0,2575.0,2648.0,2635.417724609375,182400
2019-10-08,2650.0,2704.0,2556.0,2635.0,2622.4794921875,107800
2019-10-09,2606.0,2774.0,2605.0,2745.0,2731.95654296875,85900
2019-10-10,2713.0,2737.0,2653.0,2657.0,2644.375,90100
2019-10-11,2633.0,2673.0,2580.0,2605.0,2592.6220703125,71800
