Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,453.0,457.0,440.0,455.0,455.0,716100
2019-01-07,471.0,481.0,469.0,470.0,470.0,513900
2019-01-08,477.0,482.0,466.0,469.0,469.0,850800
2019-01-09,479.0,482.0,470.0,478.0,478.0,757500
2019-01-10,476.0,487.0,474.0,483.0,483.0,429600
2019-01-11,488.0,500.0,486.0,497.0,497.0,478200
2019-01-15,495.0,517.0,494.0,517.0,517.0,394500
2019-01-16,515.0,515.0,492.0,495.0,495.0,494500
2019-01-17,506.0,514.0,492.0,494.0,494.0,553300
2019-01-18,500.0,507.0,499.0,501.0,501.0,263700
2019-01-21,507.0,513.0,504.0,511.0,511.0,294400
2019-01-22,513.0,515.0,500.0,500.0,500.0,252600
2019-01-23,499.0,508.0,495.0,505.0,505.0,265500
2019-01-24,507.0,511.0,503.0,508.0,508.0,263000
2019-01-25,506.0,518.0,505.0,516.0,516.0,381300
2019-01-28,520.0,526.0,517.0,519.0,519.0,343800
2019-01-29,514.0,515.0,505.0,512.0,512.0,216900
2019-01-30,518.0,521.0,508.0,508.0,508.0,302900
2019-01-31,515.0,521.0,511.0,514.0,514.0,278800
2019-02-01,513.0,516.0,502.0,502.0,502.0,239900
2019-02-04,509.0,519.0,509.0,519.0,519.0,242900
2019-02-05,516.0,527.0,516.0,525.0,525.0,364000
2019-02-06,528.0,530.0,516.0,522.0,522.0,243200
2019-02-07,525.0,526.0,489.0,491.0,491.0,729500
2019-02-08,479.0,480.0,448.0,460.0,460.0,820400
2019-02-12,463.0,487.0,463.0,485.0,485.0,442400
2019-02-13,489.0,506.0,488.0,503.0,503.0,390700
2019-02-14,501.0,505.0,488.0,489.0,489.0,303000
2019-02-15,481.0,489.0,481.0,488.0,488.0,204400
2019-02-18,500.0,503.0,497.0,500.0,500.0,160300
2019-02-19,500.0,500.0,491.0,495.0,495.0,193200
2019-02-20,494.0,502.0,490.0,497.0,497.0,329700
2019-02-21,495.0,496.0,484.0,486.0,486.0,407600
2019-02-22,480.0,491.0,474.0,487.0,487.0,472000
2019-02-25,495.0,495.0,484.0,491.0,491.0,371600
2019-02-26,487.0,489.0,479.0,481.0,481.0,239600
2019-02-27,481.0,483.0,477.0,480.0,480.0,248000
2019-02-28,480.0,485.0,475.0,481.0,481.0,252600
2019-03-01,478.0,482.0,475.0,476.0,476.0,272500
2019-03-04,481.0,486.0,479.0,483.0,483.0,228600
2019-03-05,482.0,482.0,468.0,470.0,470.0,383200
2019-03-06,466.0,466.0,459.0,460.0,460.0,398000
2019-03-07,460.0,460.0,445.0,448.0,448.0,484500
2019-03-08,442.0,443.0,427.0,431.0,431.0,690700
2019-03-11,433.0,437.0,428.0,433.0,433.0,352600
2019-03-12,443.0,448.0,441.0,445.0,445.0,297000
2019-03-13,437.0,443.0,433.0,433.0,433.0,267300
2019-03-14,438.0,445.0,426.0,433.0,433.0,396600
2019-03-15,427.0,428.0,419.0,422.0,422.0,656300
2019-03-18,424.0,426.0,420.0,424.0,424.0,231200
2019-03-19,428.0,434.0,424.0,434.0,434.0,315000
2019-03-20,438.0,444.0,435.0,441.0,441.0,471900
2019-03-22,439.0,442.0,431.0,432.0,432.0,378000
2019-03-25,425.0,426.0,415.0,418.0,418.0,337200
2019-03-26,425.0,439.0,422.0,439.0,439.0,283100
2019-03-27,440.0,441.0,432.0,437.0,437.0,198700
2019-03-28,438.0,438.0,429.0,430.0,430.0,213900
2019-03-29,435.0,435.0,425.0,425.0,425.0,270500
2019-04-01,430.0,453.0,430.0,446.0,446.0,393800
2019-04-02,455.0,464.0,452.0,459.0,459.0,552500
2019-04-03,453.0,455.0,447.0,455.0,455.0,249800
2019-04-04,453.0,463.0,453.0,463.0,463.0,165700
2019-04-05,460.0,461.0,450.0,459.0,459.0,422400
2019-04-08,462.0,462.0,451.0,454.0,454.0,128400
2019-04-09,451.0,454.0,445.0,450.0,450.0,196900
2019-04-10,443.0,452.0,442.0,451.0,451.0,132000
2019-04-11,449.0,455.0,448.0,453.0,453.0,172900
2019-04-12,451.0,456.0,448.0,448.0,448.0,260100
2019-04-15,453.0,466.0,452.0,465.0,465.0,542800
2019-04-16,463.0,464.0,454.0,455.0,455.0,315800
2019-04-17,452.0,460.0,452.0,457.0,457.0,267900
2019-04-18,456.0,459.0,451.0,453.0,453.0,337200
2019-04-19,464.0,467.0,459.0,460.0,460.0,348100
2019-04-22,460.0,460.0,451.0,455.0,455.0,159200
2019-04-23,449.0,451.0,439.0,439.0,439.0,563000
2019-04-24,441.0,446.0,437.0,440.0,440.0,340100
2019-04-25,437.0,444.0,432.0,442.0,442.0,309700
2019-04-26,434.0,442.0,429.0,441.0,441.0,394400
2019-05-07,438.0,440.0,428.0,429.0,429.0,354300
2019-05-08,423.0,423.0,415.0,416.0,416.0,495400
2019-05-09,413.0,413.0,400.0,403.0,403.0,575100
2019-05-10,406.0,421.0,404.0,416.0,416.0,530200
2019-05-13,410.0,410.0,402.0,404.0,404.0,350500
2019-05-14,393.0,394.0,370.0,387.0,387.0,1153900
2019-05-15,392.0,398.0,370.0,379.0,379.0,919500
2019-05-16,378.0,385.0,371.0,380.0,380.0,613400
2019-05-17,387.0,392.0,382.0,384.0,384.0,462300
2019-05-20,387.0,388.0,375.0,376.0,376.0,450700
2019-05-21,371.0,372.0,362.0,368.0,368.0,524300
2019-05-22,370.0,374.0,367.0,370.0,370.0,436200
2019-05-23,367.0,368.0,357.0,361.0,361.0,495700
2019-05-24,357.0,372.0,353.0,369.0,369.0,593600
2019-05-27,371.0,375.0,366.0,369.0,369.0,329400
2019-05-28,365.0,371.0,357.0,357.0,357.0,2341500
2019-05-29,353.0,363.0,348.0,358.0,358.0,792100
2019-05-30,351.0,357.0,351.0,356.0,356.0,419400
2019-05-31,353.0,353.0,345.0,346.0,346.0,637900
2019-06-03,339.0,341.0,328.0,330.0,330.0,882800
2019-06-04,335.0,355.0,334.0,353.0,353.0,979000
2019-06-05,359.0,371.0,354.0,366.0,366.0,831600
2019-06-06,366.0,367.0,358.0,362.0,362.0,417000
2019-06-07,365.0,371.0,362.0,369.0,369.0,561400
2019-06-10,380.0,380.0,373.0,375.0,375.0,505900
2019-06-11,370.0,375.0,366.0,371.0,371.0,551600
2019-06-12,368.0,376.0,366.0,372.0,372.0,456200
2019-06-13,372.0,375.0,366.0,368.0,368.0,351000
2019-06-14,367.0,374.0,366.0,370.0,370.0,362600
2019-06-17,370.0,370.0,364.0,364.0,364.0,339800
2019-06-18,364.0,367.0,360.0,361.0,361.0,311900
2019-06-19,360.0,370.0,359.0,367.0,367.0,543700
2019-06-20,370.0,373.0,364.0,372.0,372.0,373300
2019-06-21,372.0,382.0,371.0,375.0,375.0,521900
2019-06-24,373.0,385.0,373.0,381.0,381.0,485800
2019-06-25,387.0,394.0,378.0,379.0,379.0,752400
2019-06-26,377.0,388.0,376.0,382.0,382.0,417300
2019-06-27,385.0,392.0,383.0,388.0,388.0,538900
2019-06-28,387.0,390.0,382.0,386.0,386.0,469600
2019-07-01,394.0,399.0,390.0,399.0,399.0,591700
2019-07-02,397.0,403.0,395.0,401.0,401.0,504600
2019-07-03,399.0,399.0,390.0,394.0,394.0,651200
2019-07-04,399.0,400.0,396.0,397.0,397.0,318000
2019-07-05,396.0,412.0,396.0,407.0,407.0,778800
2019-07-08,407.0,409.0,404.0,407.0,407.0,511600
2019-07-09,407.0,414.0,405.0,405.0,405.0,645700
2019-07-10,404.0,408.0,398.0,406.0,406.0,631600
2019-07-11,408.0,419.0,408.0,416.0,416.0,546300
2019-07-12,419.0,420.0,412.0,413.0,413.0,541800
2019-07-16,414.0,419.0,410.0,415.0,415.0,382800
2019-07-17,414.0,420.0,413.0,417.0,417.0,483200
2019-07-18,414.0,417.0,405.0,406.0,406.0,692600
