Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,2261.0,2303.0,2207.0,2291.0,2226.780517578125,61800
2019-01-07,2341.0,2468.0,2301.0,2436.0,2367.7158203125,49400
2019-01-08,2458.0,2458.0,2335.0,2351.0,2285.0986328125,44300
2019-01-09,2374.0,2420.0,2340.0,2387.0,2320.08935546875,32900
2019-01-10,2361.0,2361.0,2301.0,2305.0,2240.3876953125,16400
2019-01-11,2306.0,2375.0,2263.0,2293.0,2228.72412109375,19800
2019-01-15,2245.0,2354.0,2245.0,2338.0,2272.462890625,10900
2019-01-16,2339.0,2406.0,2296.0,2330.0,2264.687255859375,19400
2019-01-17,2334.0,2491.0,2328.0,2479.0,2409.510498046875,32500
2019-01-18,2470.0,2603.0,2447.0,2536.0,2464.912841796875,62600
2019-01-21,2528.0,2547.0,2440.0,2441.0,2372.575927734375,30400
2019-01-22,2479.0,2479.0,2381.0,2441.0,2372.575927734375,32800
2019-01-23,2391.0,2515.0,2373.0,2476.0,2406.594482421875,34800
2019-01-24,2446.0,2580.0,2424.0,2561.0,2489.2119140625,37700
2019-01-25,2590.0,2643.0,2547.0,2597.0,2524.20263671875,31100
2019-01-28,2576.0,2666.0,2575.0,2624.0,2550.44580078125,39500
2019-01-29,2599.0,2601.0,2469.0,2542.0,2470.74462890625,49700
2019-01-30,2542.0,2573.0,2501.0,2505.0,2434.78173828125,30900
2019-01-31,2505.0,2580.0,2496.0,2561.0,2489.2119140625,34100
2019-02-01,2531.0,2575.0,2500.0,2521.0,2450.333251953125,34400
2019-02-04,2570.0,2705.0,2559.0,2674.0,2599.04443359375,56200
2019-02-05,2673.0,2731.0,2637.0,2730.0,2653.474609375,32200
2019-02-06,2749.0,2765.0,2649.0,2661.0,2586.408935546875,17900
2019-02-07,2685.0,2685.0,2600.0,2623.0,2549.47412109375,14800
2019-02-08,2581.0,2637.0,2565.0,2602.0,2529.062744140625,53500
2019-02-12,2778.0,3005.0,2766.0,2948.0,2865.364013671875,136100
2019-02-13,2952.0,3085.0,2827.0,2860.0,2779.83056640625,119100
2019-02-14,2897.0,2897.0,2782.0,2856.0,2775.94287109375,52100
2019-02-15,2790.0,2800.0,2721.0,2787.0,2708.876953125,46600
2019-02-18,2837.0,2837.0,2663.0,2770.0,2692.353515625,58900
2019-02-19,2744.0,2750.0,2673.0,2733.0,2656.390625,58300
2019-02-20,2765.0,2850.0,2765.0,2797.0,2718.5966796875,44300
2019-02-21,2821.0,2900.0,2801.0,2817.0,2738.0361328125,49800
2019-02-22,2820.0,2861.0,2750.0,2808.0,2729.2880859375,31400
2019-02-25,2832.0,2866.0,2825.0,2851.0,2771.083251953125,21800
2019-02-26,2852.0,2933.0,2852.0,2897.0,2815.793212890625,30400
2019-02-27,2910.0,3025.0,2910.0,2999.0,2914.934326171875,46200
2019-02-28,3015.0,3125.0,2956.0,2990.0,2906.186279296875,65800
2019-03-01,2992.0,3035.0,2935.0,2950.0,2867.307861328125,35900
2019-03-04,3000.0,3065.0,2985.0,3045.0,2959.644775390625,27600
2019-03-05,3020.0,3065.0,2986.0,3055.0,2969.364501953125,20800
2019-03-06,3055.0,3055.0,3010.0,3020.0,2935.345703125,12700
2019-03-07,3020.0,3020.0,2948.0,2978.0,2894.52294921875,28700
2019-03-08,2878.0,2878.0,2721.0,2746.0,2669.026123046875,69600
2019-03-11,2746.0,2826.0,2717.0,2825.0,2745.8115234375,28300
2019-03-12,2893.0,2982.0,2860.0,2872.0,2791.494384765625,46900
2019-03-13,2832.0,2882.0,2822.0,2882.0,2801.2138671875,16100
2019-03-14,2960.0,2961.0,2864.0,2902.0,2820.6533203125,22300
2019-03-15,2870.0,2930.0,2850.0,2885.0,2804.1298828125,35300
2019-03-18,2921.0,2947.0,2874.0,2878.0,2797.325927734375,11600
2019-03-19,2888.0,2932.0,2833.0,2930.0,2847.86865234375,12200
2019-03-20,2940.0,3090.0,2940.0,3070.0,2983.944091796875,49700
2019-03-22,3110.0,3140.0,3070.0,3130.0,3042.261962890625,40100
2019-03-25,3060.0,3060.0,2930.0,3010.0,2925.625732421875,40300
2019-03-26,3080.0,3165.0,3060.0,3090.0,3003.38330078125,37200
2019-03-27,3100.0,3165.0,3070.0,3110.0,3036.08740234375,27400
2019-03-28,3135.0,3145.0,3055.0,3105.0,3031.2060546875,18800
2019-03-29,3155.0,3155.0,3075.0,3090.0,3016.5625,16100
2019-04-01,3170.0,3240.0,3140.0,3190.0,3114.18603515625,24800
2019-04-02,3245.0,3250.0,3125.0,3140.0,3065.374267578125,27800
2019-04-03,3165.0,3165.0,3095.0,3130.0,3055.61181640625,12200
