Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,687.0,699.0,668.0,693.0,651.17431640625,46000
2019-01-07,709.0,722.0,700.0,704.0,661.5104370117188,25100
2019-01-08,705.0,711.0,697.0,699.0,656.8121948242188,33400
2019-01-09,701.0,701.0,689.0,693.0,651.17431640625,32700
2019-01-10,685.0,686.0,678.0,685.0,643.6571655273438,26300
2019-01-11,687.0,692.0,682.0,685.0,643.6571655273438,21200
2019-01-15,678.0,686.0,672.0,677.0,636.1400146484375,32500
2019-01-16,683.0,683.0,666.0,669.0,628.6228637695312,24400
2019-01-17,674.0,694.0,673.0,688.0,646.47607421875,39700
2019-01-18,695.0,700.0,686.0,693.0,651.17431640625,53700
2019-01-21,701.0,703.0,691.0,701.0,658.6914672851562,32400
2019-01-22,712.0,712.0,696.0,708.0,665.2689819335938,31500
2019-01-23,701.0,707.0,691.0,693.0,651.17431640625,46700
2019-01-24,699.0,705.0,688.0,694.0,652.114013671875,51700
2019-01-25,702.0,707.0,692.0,693.0,651.17431640625,44600
2019-01-28,693.0,693.0,683.0,687.0,645.5364379882812,36100
2019-01-29,687.0,692.0,682.0,690.0,648.3553466796875,31700
2019-01-30,685.0,696.0,684.0,686.0,644.5968627929688,49000
2019-01-31,688.0,692.0,683.0,687.0,645.5364379882812,50200
2019-02-01,684.0,690.0,684.0,684.0,642.717529296875,35800
2019-02-04,689.0,708.0,684.0,708.0,665.2689819335938,36200
2019-02-05,708.0,717.0,706.0,716.0,672.7861328125,23500
2019-02-06,720.0,735.0,716.0,730.0,685.9412231445312,71000
2019-02-07,737.0,749.0,731.0,731.0,686.8809204101562,51900
2019-02-08,721.0,728.0,708.0,711.0,668.0879516601562,32600
2019-02-12,713.0,715.0,706.0,709.0,666.2086791992188,35500
2019-02-13,719.0,724.0,712.0,719.0,675.6051025390625,28600
2019-02-14,717.0,728.0,712.0,715.0,671.8465576171875,26700
2019-02-15,715.0,723.0,711.0,719.0,675.6051025390625,23000
2019-02-18,762.0,762.0,733.0,749.0,703.79443359375,59900
2019-02-19,749.0,758.0,745.0,753.0,707.5531005859375,29600
2019-02-20,760.0,761.0,746.0,754.0,708.49267578125,39100
2019-02-21,757.0,763.0,748.0,761.0,715.0702514648438,38700
2019-02-22,756.0,759.0,746.0,755.0,709.432373046875,28700
2019-02-25,759.0,764.0,755.0,763.0,716.9495239257812,32100
2019-02-26,762.0,770.0,758.0,762.0,716.0098876953125,16500
2019-02-27,762.0,769.0,759.0,766.0,719.7684326171875,24800
2019-02-28,770.0,782.0,767.0,779.0,731.98388671875,30900
2019-03-01,776.0,778.0,767.0,775.0,728.2252807617188,39600
2019-03-04,775.0,784.0,774.0,781.0,733.8631591796875,29700
2019-03-05,773.0,780.0,770.0,780.0,732.9234619140625,18800
2019-03-06,775.0,777.0,771.0,775.0,728.2252807617188,26300
2019-03-07,768.0,771.0,760.0,769.0,722.5873413085938,42400
2019-03-08,757.0,758.0,736.0,747.0,701.9152221679688,78800
2019-03-11,743.0,752.0,743.0,747.0,701.9152221679688,15800
2019-03-12,749.0,770.0,749.0,766.0,719.7684326171875,15000
2019-03-13,764.0,766.0,761.0,762.0,716.0098876953125,11400
2019-03-14,773.0,774.0,768.0,772.0,725.4063720703125,16600
2019-03-15,778.0,788.0,774.0,778.0,731.044189453125,52500
2019-03-18,789.0,800.0,785.0,798.0,749.837158203125,40700
2019-03-19,815.0,815.0,797.0,801.0,752.656005859375,23200
2019-03-20,806.0,813.0,802.0,809.0,760.1732177734375,25400
2019-03-22,818.0,820.0,805.0,818.0,768.6300048828125,26700
2019-03-25,812.0,812.0,790.0,790.0,742.3198852539062,29700
2019-03-26,801.0,820.0,801.0,817.0,767.6903686523438,49900
2019-03-27,814.0,816.0,799.0,802.0,768.6488037109375,30400
2019-03-28,794.0,794.0,769.0,771.0,738.9379272460938,16000
2019-03-29,774.0,776.0,764.0,767.0,735.104248046875,14200
2019-04-01,781.0,798.0,780.0,791.0,758.106201171875,17200
2019-04-02,807.0,807.0,788.0,789.0,756.1893920898438,8600
2019-04-03,786.0,789.0,776.0,783.0,750.4389038085938,8300
2019-04-04,798.0,798.0,788.0,788.0,755.23095703125,8700
2019-04-05,784.0,787.0,777.0,785.0,752.355712890625,11100
2019-04-08,789.0,790.0,778.0,780.0,747.5636596679688,3000
2019-04-09,784.0,784.0,769.0,770.0,737.9795532226562,6800
2019-04-10,767.0,767.0,760.0,762.0,730.3121948242188,3700
2019-04-11,751.0,757.0,751.0,757.0,725.5200805664062,6500
2019-04-12,767.0,767.0,755.0,755.0,723.603271484375,16300
2019-04-15,767.0,788.0,767.0,783.0,750.4389038085938,31200
2019-04-16,782.0,785.0,773.0,778.0,745.6467895507812,16400
2019-04-17,778.0,788.0,768.0,785.0,752.355712890625,24800
2019-04-18,794.0,794.0,766.0,771.0,738.9379272460938,36900
2019-04-19,780.0,780.0,769.0,771.0,738.9379272460938,7800
2019-04-22,786.0,793.0,776.0,788.0,755.23095703125,24000
2019-04-23,791.0,795.0,786.0,795.0,761.9398803710938,17600
2019-04-24,799.0,800.0,779.0,786.0,753.3141479492188,18000
2019-04-25,787.0,794.0,780.0,792.0,759.0646362304688,23900
2019-04-26,783.0,785.0,771.0,779.0,746.605224609375,20500
2019-05-07,764.0,770.0,756.0,758.0,726.478515625,32100
2019-05-08,751.0,756.0,727.0,732.0,701.5596923828125,38200
2019-05-09,726.0,729.0,705.0,716.0,686.22509765625,58900
2019-05-10,701.0,724.0,689.0,716.0,686.22509765625,72600
2019-05-13,716.0,724.0,710.0,710.0,680.474609375,21600
2019-05-14,695.0,713.0,688.0,712.0,682.391357421875,33600
2019-05-15,718.0,718.0,702.0,718.0,688.1419067382812,18600
2019-05-16,718.0,729.0,714.0,729.0,698.6844482421875,27300
