Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,1113.0,1115.0,1056.0,1083.0,1009.8515625,285800
2019-01-07,1156.0,1208.0,1139.0,1192.0,1111.489501953125,289400
2019-01-08,1193.0,1223.0,1189.0,1194.0,1113.3544921875,200900
2019-01-09,1194.0,1212.0,1189.0,1193.0,1112.4219970703125,121200
2019-01-10,1187.0,1206.0,1182.0,1192.0,1111.489501953125,156300
2019-01-11,1200.0,1233.0,1190.0,1194.0,1113.3544921875,175100
2019-01-15,1170.0,1225.0,1155.0,1223.0,1140.395751953125,136500
2019-01-16,1225.0,1225.0,1170.0,1180.0,1100.3001708984375,170000
2019-01-17,1185.0,1212.0,1173.0,1175.0,1095.6378173828125,124900
2019-01-18,1176.0,1205.0,1168.0,1195.0,1114.286865234375,152100
2019-01-21,1219.0,1230.0,1206.0,1216.0,1133.868408203125,111100
2019-01-22,1216.0,1223.0,1170.0,1177.0,1097.502685546875,126000
2019-01-23,1166.0,1195.0,1149.0,1189.0,1108.6920166015625,98700
2019-01-24,1189.0,1203.0,1185.0,1200.0,1118.94921875,192400
2019-01-25,1211.0,1288.0,1211.0,1269.0,1183.288818359375,470500
2019-01-28,1299.0,1319.0,1284.0,1298.0,1210.330078125,197500
2019-01-29,1270.0,1274.0,1221.0,1251.0,1166.5045166015625,210500
2019-01-30,1255.0,1264.0,1220.0,1220.0,1137.598388671875,188400
2019-01-31,1249.0,1307.0,1249.0,1292.0,1204.7353515625,242600
2019-02-01,1273.0,1291.0,1212.0,1215.0,1132.93603515625,406900
2019-02-04,1222.0,1229.0,1179.0,1228.0,1145.0579833984375,396900
2019-02-05,1150.0,1295.0,1150.0,1289.0,1201.93798828125,792300
2019-02-06,1288.0,1302.0,1253.0,1295.0,1207.5328369140625,276800
2019-02-07,1308.0,1342.0,1298.0,1312.0,1223.384521484375,356200
2019-02-08,1278.0,1280.0,1162.0,1168.0,1089.110595703125,392300
2019-02-12,1168.0,1254.0,1168.0,1252.0,1167.43701171875,205900
2019-02-13,1268.0,1279.0,1230.0,1279.0,1192.61328125,260000
2019-02-14,1267.0,1299.0,1257.0,1262.0,1176.7615966796875,108500
2019-02-15,1232.0,1238.0,1194.0,1207.0,1125.4764404296875,193900
2019-02-18,1246.0,1246.0,1209.0,1218.0,1135.7333984375,239700
2019-02-19,1208.0,1236.0,1207.0,1220.0,1137.598388671875,77300
2019-02-20,1220.0,1248.0,1207.0,1209.0,1127.34130859375,138300
2019-02-21,1202.0,1214.0,1178.0,1187.0,1106.8271484375,164400
2019-02-22,1180.0,1182.0,1152.0,1159.0,1080.71826171875,203400
2019-02-25,1176.0,1188.0,1155.0,1170.0,1090.9755859375,206900
2019-02-26,1175.0,1178.0,1126.0,1139.0,1062.0692138671875,270900
2019-02-27,1143.0,1148.0,1109.0,1115.0,1039.690185546875,238100
2019-02-28,1123.0,1128.0,1087.0,1088.0,1014.5139770507812,302800
2019-03-01,1094.0,1108.0,1087.0,1100.0,1025.7032470703125,160500
2019-03-04,1117.0,1137.0,1110.0,1135.0,1058.3394775390625,229300
2019-03-05,1141.0,1155.0,1117.0,1137.0,1060.204345703125,177600
2019-03-06,1133.0,1144.0,1128.0,1133.0,1056.4744873046875,72600
2019-03-07,1117.0,1117.0,1078.0,1095.0,1021.0410766601562,224000
2019-03-08,1078.0,1087.0,1040.0,1047.0,976.2831420898438,254500
2019-03-11,1051.0,1065.0,1032.0,1044.0,973.48583984375,111200
2019-03-12,1070.0,1084.0,1062.0,1078.0,1005.1893310546875,71900
2019-03-13,1064.0,1069.0,1044.0,1048.0,977.215576171875,60200
2019-03-14,1057.0,1078.0,1039.0,1042.0,971.620849609375,92900
2019-03-15,1030.0,1054.0,1022.0,1028.0,958.5665283203125,130800
2019-03-18,1043.0,1067.0,1043.0,1064.0,992.1348876953125,121500
2019-03-19,1069.0,1072.0,1034.0,1067.0,994.9322509765625,158500
2019-03-20,1058.0,1074.0,1054.0,1067.0,994.9322509765625,137100
2019-03-22,1080.0,1131.0,1080.0,1106.0,1031.298095703125,270600
2019-03-25,1063.0,1079.0,1049.0,1066.0,993.9998168945312,137700
2019-03-26,1079.0,1085.0,1053.0,1077.0,1004.2568969726562,102200
2019-03-27,1076.0,1103.0,1071.0,1100.0,1047.0924072265625,93600
2019-03-28,1080.0,1081.0,1054.0,1058.0,1007.112548828125,94000
2019-03-29,1075.0,1098.0,1055.0,1088.0,1035.669677734375,182500
2019-04-01,1118.0,1130.0,1102.0,1115.0,1061.3709716796875,98500
2019-04-02,1130.0,1152.0,1100.0,1102.0,1048.9964599609375,165000
2019-04-03,1104.0,1156.0,1104.0,1152.0,1096.59130859375,141700
2019-04-04,1164.0,1206.0,1161.0,1192.0,1134.66748046875,221500
2019-04-05,1199.0,1234.0,1194.0,1234.0,1174.6473388671875,263800
2019-04-08,1244.0,1255.0,1200.0,1211.0,1152.7535400390625,163000
2019-04-09,1206.0,1226.0,1203.0,1216.0,1157.5130615234375,90800
2019-04-10,1200.0,1211.0,1183.0,1206.0,1147.9942626953125,118200
2019-04-11,1197.0,1206.0,1181.0,1200.0,1142.28271484375,109000
2019-04-12,1212.0,1227.0,1189.0,1222.0,1163.224609375,104700
2019-04-15,1229.0,1263.0,1229.0,1263.0,1202.2525634765625,174900
2019-04-16,1249.0,1256.0,1232.0,1251.0,1190.8297119140625,124700
2019-04-17,1257.0,1314.0,1251.0,1304.0,1241.280517578125,333500
2019-04-18,1302.0,1305.0,1243.0,1247.0,1187.02197265625,262800
2019-04-19,1277.0,1343.0,1274.0,1343.0,1278.40478515625,294500
2019-04-22,1323.0,1327.0,1280.0,1305.0,1242.2325439453125,275200
2019-04-23,1310.0,1312.0,1282.0,1291.0,1228.90576171875,159300
2019-04-24,1290.0,1299.0,1245.0,1245.0,1185.1182861328125,119700
2019-04-25,1245.0,1281.0,1219.0,1277.0,1215.5791015625,161600
2019-04-26,1260.0,1260.0,1228.0,1255.0,1194.6373291015625,107800
2019-05-07,1254.0,1254.0,1177.0,1183.0,1126.100341796875,195300
2019-05-08,1153.0,1165.0,1113.0,1125.0,1070.8900146484375,295500
2019-05-09,1120.0,1124.0,1094.0,1101.0,1048.04443359375,210000
2019-05-10,1100.0,1152.0,1095.0,1124.0,1069.9381103515625,204900
2019-05-13,1107.0,1107.0,1065.0,1080.0,1028.0543212890625,232700
2019-05-14,1026.0,1052.0,1002.0,1042.0,991.8821411132812,319700
2019-05-15,1061.0,1094.0,1046.0,1090.0,1037.5733642578125,217600
2019-05-16,1070.0,1104.0,1028.0,1075.0,1023.294921875,424900
2019-05-17,1066.0,1069.0,970.0,976.0,929.0565795898438,716900
2019-05-20,974.0,976.0,913.0,928.0,883.3652954101562,413900
2019-05-21,905.0,906.0,840.0,876.0,833.8663330078125,828000
2019-05-22,887.0,937.0,886.0,930.0,885.26904296875,475400
2019-05-23,925.0,939.0,904.0,930.0,885.26904296875,534700
2019-05-24,906.0,955.0,905.0,941.0,895.7400512695312,369000
2019-05-27,926.0,939.0,911.0,923.0,878.6057739257812,162700
2019-05-28,929.0,935.0,906.0,916.0,871.9424438476562,202500
2019-05-29,898.0,905.0,881.0,886.0,843.3853759765625,235000
2019-05-30,880.0,927.0,876.0,927.0,882.4133911132812,310800
2019-05-31,917.0,921.0,892.0,896.0,852.9044189453125,146600
2019-06-03,889.0,896.0,855.0,866.0,824.3472900390625,285800
2019-06-04,868.0,898.0,862.0,898.0,854.8082275390625,233600
2019-06-05,943.0,954.0,913.0,941.0,895.7400512695312,285500
2019-06-06,933.0,946.0,915.0,915.0,870.9905395507812,193900
2019-06-07,920.0,939.0,906.0,911.0,867.1829833984375,265600
2019-06-10,925.0,932.0,916.0,929.0,884.3171997070312,168800
2019-06-11,926.0,949.0,922.0,942.0,896.6919555664062,126700
2019-06-12,941.0,962.0,935.0,945.0,899.547607421875,130200
2019-06-13,930.0,931.0,901.0,920.0,875.7500610351562,227600
2019-06-14,920.0,931.0,915.0,920.0,875.7500610351562,121000
2019-06-17,905.0,907.0,877.0,893.0,850.0487060546875,218000
2019-06-18,891.0,903.0,874.0,883.0,840.5296630859375,149600
2019-06-19,909.0,939.0,906.0,937.0,891.9324340820312,215500
2019-06-20,937.0,944.0,910.0,927.0,882.4133911132812,204900
2019-06-21,940.0,954.0,930.0,945.0,899.547607421875,214100
2019-06-24,939.0,939.0,914.0,922.0,877.6538696289062,174000
2019-06-25,920.0,932.0,904.0,909.0,865.2791137695312,123500
2019-06-26,902.0,937.0,898.0,912.0,868.1348266601562,146200
2019-06-27,934.0,970.0,929.0,957.0,910.970458984375,242400
2019-06-28,950.0,966.0,940.0,966.0,919.5375366210938,135000
2019-07-01,1011.0,1066.0,1009.0,1065.0,1013.77587890625,566800
2019-07-02,1065.0,1078.0,1052.0,1068.0,1016.6315307617188,249800
2019-07-03,1058.0,1062.0,1028.0,1039.0,989.0264892578125,282200
2019-07-04,1046.0,1050.0,1022.0,1036.0,986.1707763671875,251200
2019-07-05,1040.0,1067.0,1039.0,1055.0,1004.2568969726562,204600
2019-07-08,1044.0,1063.0,1038.0,1061.0,1009.96826171875,170400
2019-07-09,1056.0,1058.0,1040.0,1046.0,995.6898193359375,125200
2019-07-10,1039.0,1058.0,1038.0,1049.0,998.5454711914062,121800
2019-07-11,1054.0,1068.0,1046.0,1064.0,1012.8239135742188,137300
2019-07-12,1064.0,1067.0,1043.0,1051.0,1000.44921875,137000
2019-07-16,1051.0,1058.0,1039.0,1051.0,1000.44921875,148400
2019-07-17,1038.0,1054.0,1029.0,1039.0,989.0264892578125,125100
2019-07-18,1030.0,1030.0,994.0,999.0,950.9503173828125,170300
2019-07-19,1007.0,1053.0,1007.0,1044.0,993.7860107421875,226400
2019-07-22,1082.0,1120.0,1082.0,1099.0,1046.140625,351100
2019-07-23,1108.0,1163.0,1105.0,1142.0,1087.072265625,512200
2019-07-24,1148.0,1158.0,1133.0,1151.0,1095.6395263671875,169300
2019-07-25,1175.0,1227.0,1166.0,1215.0,1156.5611572265625,386300
2019-07-26,1193.0,1205.0,1177.0,1203.0,1145.138427734375,254800
2019-07-29,1199.0,1204.0,1150.0,1160.0,1104.2066650390625,305000
2019-07-30,1172.0,1199.0,1172.0,1192.0,1134.66748046875,144400
2019-07-31,1177.0,1199.0,1162.0,1190.0,1132.763671875,235900
2019-08-01,1171.0,1199.0,1171.0,1190.0,1132.763671875,82000
2019-08-02,1160.0,1160.0,1112.0,1135.0,1080.4091796875,237300
2019-08-05,1113.0,1116.0,1064.0,1082.0,1029.958251953125,292500
2019-08-06,997.0,1120.0,988.0,1104.0,1050.900146484375,736700
2019-08-07,1099.0,1109.0,1066.0,1083.0,1030.9100341796875,287000
2019-08-08,1083.0,1101.0,1059.0,1076.0,1024.2469482421875,199200
2019-08-09,1094.0,1103.0,1072.0,1093.0,1040.4290771484375,267700
2019-08-13,1063.0,1072.0,1045.0,1045.0,994.7378540039062,189900
2019-08-14,1077.0,1102.0,1070.0,1074.0,1022.343017578125,207100
2019-08-15,1028.0,1068.0,1021.0,1066.0,1014.727783203125,158700
2019-08-16,1063.0,1099.0,1059.0,1087.0,1034.7177734375,178700
2019-08-19,1110.0,1180.0,1110.0,1141.0,1086.1204833984375,305200
2019-08-20,1134.0,1157.0,1106.0,1149.0,1093.7357177734375,254100
2019-08-21,1145.0,1188.0,1139.0,1177.0,1120.3890380859375,234000
2019-08-22,1173.0,1195.0,1137.0,1141.0,1086.1204833984375,363700
