Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,2580.0,2663.0,2580.0,2661.0,2609.06005859375,422500
2019-01-07,2699.0,2725.0,2654.0,2668.0,2615.923583984375,358000
2019-01-08,2691.0,2746.0,2685.0,2735.0,2681.615478515625,449600
2019-01-09,2746.0,2771.0,2671.0,2677.0,2624.747802734375,457800
2019-01-10,2672.0,2714.0,2666.0,2695.0,2642.396484375,354000
2019-01-11,2677.0,2677.0,2526.0,2538.0,2488.461181640625,904200
2019-01-15,2511.0,2579.0,2496.0,2540.0,2490.421875,597200
2019-01-16,2560.0,2612.0,2527.0,2578.0,2527.68017578125,359400
2019-01-17,2586.0,2617.0,2570.0,2586.0,2535.52392578125,228900
2019-01-18,2581.0,2618.0,2577.0,2587.0,2536.50439453125,231000
2019-01-21,2600.0,2600.0,2536.0,2539.0,2489.441650390625,325400
2019-01-22,2539.0,2573.0,2539.0,2544.0,2494.343994140625,289800
2019-01-23,2543.0,2561.0,2530.0,2530.0,2480.616943359375,243800
2019-01-24,2532.0,2543.0,2509.0,2517.0,2467.870849609375,226300
2019-01-25,2512.0,2549.0,2511.0,2529.0,2479.636474609375,214600
2019-01-28,2514.0,2524.0,2487.0,2501.0,2452.183349609375,267300
2019-01-29,2500.0,2537.0,2476.0,2532.0,2482.578125,368500
2019-01-30,2510.0,2522.0,2486.0,2490.0,2441.39794921875,370200
2019-01-31,2500.0,2524.0,2490.0,2510.0,2461.0078125,259900
2019-02-01,2503.0,2526.0,2490.0,2493.0,2444.339599609375,319300
2019-02-04,2516.0,2532.0,2507.0,2529.0,2479.636474609375,406400
2019-02-05,2529.0,2558.0,2528.0,2553.0,2503.16845703125,513600
2019-02-06,2556.0,2556.0,2327.0,2345.0,2299.22802734375,1685400
2019-02-07,2369.0,2369.0,2292.0,2344.0,2298.24755859375,886300
2019-02-08,2382.0,2451.0,2366.0,2433.0,2385.510498046875,1192700
2019-02-12,2453.0,2491.0,2437.0,2453.0,2405.1201171875,630900
2019-02-13,2445.0,2503.0,2441.0,2482.0,2433.553955078125,458900
