Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,789.0,793.0,762.0,775.0,775.0,1209600
2019-01-07,818.0,849.0,803.0,843.0,843.0,992400
2019-01-08,868.0,872.0,835.0,859.0,859.0,794900
2019-01-09,870.0,886.0,853.0,856.0,856.0,561600
2019-01-10,850.0,856.0,803.0,805.0,805.0,595200
2019-01-11,812.0,835.0,796.0,799.0,799.0,803900
2019-01-15,790.0,847.0,790.0,828.0,828.0,918800
2019-01-16,832.0,837.0,807.0,831.0,831.0,568200
2019-01-17,841.0,860.0,835.0,851.0,851.0,453100
2019-01-18,861.0,874.0,838.0,851.0,851.0,771400
2019-01-21,866.0,888.0,837.0,838.0,838.0,1123700
2019-01-22,856.0,861.0,827.0,838.0,838.0,840700
2019-01-23,821.0,824.0,792.0,801.0,801.0,1151900
2019-01-24,794.0,825.0,785.0,822.0,822.0,1303400
2019-01-25,831.0,875.0,827.0,843.0,843.0,933600
2019-01-28,832.0,855.0,818.0,830.0,830.0,973600
2019-01-29,823.0,839.0,812.0,833.0,833.0,912900
2019-01-30,833.0,840.0,792.0,792.0,792.0,920300
2019-01-31,807.0,834.0,807.0,826.0,826.0,802200
2019-02-01,829.0,854.0,828.0,852.0,852.0,550800
2019-02-04,851.0,881.0,850.0,865.0,865.0,799000
2019-02-05,880.0,903.0,862.0,867.0,867.0,632100
2019-02-06,870.0,904.0,865.0,871.0,871.0,985200
2019-02-07,873.0,883.0,821.0,824.0,824.0,1385700
2019-02-08,825.0,827.0,751.0,780.0,780.0,2133200
2019-02-12,640.0,642.0,630.0,630.0,630.0,1076300
2019-02-13,611.0,691.0,604.0,689.0,689.0,3984500
2019-02-14,682.0,694.0,639.0,654.0,654.0,2198000
2019-02-15,640.0,658.0,628.0,639.0,639.0,1293600
2019-02-18,645.0,655.0,629.0,650.0,650.0,1018200
2019-02-19,664.0,693.0,655.0,677.0,677.0,1383000
2019-02-20,675.0,690.0,665.0,685.0,685.0,1433000
2019-02-21,680.0,758.0,677.0,737.0,737.0,1947600
2019-02-22,723.0,734.0,707.0,722.0,722.0,945900
2019-02-25,730.0,783.0,729.0,766.0,766.0,1641600
2019-02-26,781.0,806.0,772.0,799.0,799.0,1608300
2019-02-27,822.0,845.0,803.0,834.0,834.0,1675600
2019-02-28,829.0,842.0,806.0,834.0,834.0,1544300
2019-03-01,826.0,826.0,788.0,800.0,800.0,1327400
2019-03-04,815.0,832.0,801.0,813.0,813.0,1129400
2019-03-05,810.0,827.0,796.0,820.0,820.0,621800
2019-03-06,812.0,829.0,797.0,828.0,828.0,654000
2019-03-07,826.0,837.0,806.0,813.0,813.0,531300
2019-03-08,788.0,801.0,751.0,766.0,766.0,944100
2019-03-11,766.0,766.0,732.0,751.0,751.0,957700
2019-03-12,771.0,790.0,765.0,787.0,787.0,654500
2019-03-13,782.0,807.0,777.0,785.0,785.0,516100
2019-03-14,803.0,807.0,784.0,800.0,800.0,314400
2019-03-15,803.0,817.0,800.0,804.0,804.0,377400
2019-03-18,815.0,851.0,807.0,844.0,844.0,636800
2019-03-19,844.0,853.0,830.0,852.0,852.0,456000
2019-03-20,860.0,897.0,847.0,870.0,870.0,898400
2019-03-22,862.0,880.0,824.0,836.0,836.0,569800
2019-03-25,830.0,830.0,796.0,814.0,814.0,425100
2019-03-26,837.0,853.0,830.0,850.0,850.0,509400
2019-03-27,860.0,880.0,852.0,874.0,874.0,384600
2019-03-28,878.0,893.0,868.0,888.0,888.0,409000
2019-03-29,904.0,922.0,903.0,918.0,918.0,519200
2019-04-01,922.0,956.0,899.0,909.0,909.0,694900
2019-04-02,909.0,910.0,851.0,853.0,853.0,605300
2019-04-03,870.0,876.0,802.0,807.0,807.0,786000
2019-04-04,802.0,831.0,790.0,803.0,803.0,809800
2019-04-05,802.0,821.0,791.0,799.0,799.0,546700
2019-04-08,798.0,813.0,779.0,781.0,781.0,548400
2019-04-09,793.0,806.0,782.0,803.0,803.0,398700
2019-04-10,792.0,812.0,788.0,801.0,801.0,318900
2019-04-11,801.0,807.0,775.0,787.0,787.0,623500
2019-04-12,789.0,790.0,757.0,761.0,761.0,627700
2019-04-15,766.0,809.0,766.0,805.0,805.0,875500
2019-04-16,796.0,818.0,789.0,791.0,791.0,505300
2019-04-17,794.0,804.0,778.0,801.0,801.0,619100
2019-04-18,803.0,806.0,750.0,759.0,759.0,1029800
2019-04-19,767.0,778.0,754.0,764.0,764.0,454000
2019-04-22,771.0,781.0,745.0,750.0,750.0,577800
2019-04-23,756.0,786.0,756.0,783.0,783.0,594300
2019-04-24,786.0,805.0,778.0,791.0,791.0,441200
2019-04-25,788.0,808.0,788.0,807.0,807.0,656800
2019-04-26,794.0,801.0,770.0,792.0,792.0,618300
2019-05-07,785.0,809.0,770.0,802.0,802.0,638800
2019-05-08,794.0,807.0,787.0,794.0,794.0,636100
2019-05-09,803.0,814.0,789.0,802.0,802.0,588300
2019-05-10,812.0,847.0,750.0,770.0,770.0,1116200
2019-05-13,782.0,857.0,751.0,846.0,846.0,1108000
2019-05-14,831.0,893.0,823.0,882.0,882.0,962000
2019-05-15,892.0,918.0,857.0,918.0,918.0,809400
2019-05-16,903.0,925.0,887.0,917.0,917.0,681200
2019-05-17,917.0,926.0,880.0,892.0,892.0,595600
2019-05-20,893.0,893.0,851.0,855.0,855.0,536200
2019-05-21,852.0,864.0,841.0,856.0,856.0,311300
2019-05-22,861.0,880.0,850.0,868.0,868.0,271200
2019-05-23,858.0,859.0,838.0,838.0,838.0,256000
2019-05-24,823.0,823.0,793.0,802.0,802.0,694000
2019-05-27,790.0,827.0,786.0,820.0,820.0,373800
2019-05-28,820.0,887.0,814.0,881.0,881.0,559400
2019-05-29,858.0,859.0,808.0,809.0,809.0,666600
2019-05-30,795.0,807.0,776.0,785.0,785.0,642400
2019-05-31,800.0,803.0,784.0,791.0,791.0,706600
2019-06-03,767.0,769.0,720.0,724.0,724.0,614100
2019-06-04,720.0,722.0,690.0,708.0,708.0,495000
2019-06-05,723.0,727.0,707.0,716.0,716.0,406800
2019-06-06,718.0,726.0,708.0,710.0,710.0,307900
2019-06-07,711.0,716.0,704.0,706.0,706.0,216800
2019-06-10,706.0,712.0,703.0,708.0,708.0,284800
2019-06-11,715.0,722.0,709.0,715.0,715.0,283900
2019-06-12,715.0,729.0,715.0,717.0,717.0,268900
2019-06-13,714.0,723.0,706.0,706.0,706.0,361500
2019-06-14,716.0,730.0,707.0,726.0,726.0,294300
2019-06-17,740.0,759.0,718.0,720.0,720.0,309300
2019-06-18,716.0,720.0,692.0,700.0,700.0,460400
2019-06-19,712.0,729.0,708.0,712.0,712.0,296600
2019-06-20,708.0,729.0,708.0,719.0,719.0,283000
2019-06-21,723.0,733.0,712.0,715.0,715.0,299000
2019-06-24,712.0,721.0,681.0,714.0,714.0,584300
2019-06-25,715.0,728.0,712.0,714.0,714.0,260800
2019-06-26,714.0,731.0,714.0,723.0,723.0,257800
2019-06-27,733.0,747.0,730.0,742.0,742.0,305200
2019-06-28,753.0,769.0,742.0,747.0,747.0,317200
2019-07-01,772.0,789.0,752.0,788.0,788.0,347700
2019-07-02,796.0,811.0,771.0,805.0,805.0,331500
2019-07-03,798.0,804.0,791.0,799.0,799.0,149400
2019-07-04,806.0,846.0,804.0,844.0,844.0,421400
2019-07-05,835.0,839.0,805.0,838.0,838.0,279300
2019-07-08,838.0,848.0,833.0,843.0,843.0,139500
2019-07-09,843.0,854.0,833.0,840.0,840.0,149500
2019-07-10,836.0,841.0,827.0,834.0,834.0,236500
2019-07-11,824.0,851.0,822.0,850.0,850.0,183700
2019-07-12,855.0,856.0,813.0,813.0,813.0,227500
2019-07-16,800.0,811.0,792.0,796.0,796.0,219500
2019-07-17,784.0,792.0,771.0,784.0,784.0,348000
2019-07-18,777.0,777.0,737.0,737.0,737.0,327800
2019-07-19,736.0,777.0,736.0,766.0,766.0,414200
2019-07-22,769.0,802.0,760.0,793.0,793.0,277700
2019-07-23,790.0,815.0,790.0,813.0,813.0,241500
2019-07-24,827.0,840.0,814.0,830.0,830.0,242700
2019-07-25,833.0,838.0,817.0,837.0,837.0,182700
2019-07-26,834.0,835.0,801.0,821.0,821.0,253800
2019-07-29,830.0,852.0,822.0,822.0,822.0,392300
2019-07-30,814.0,821.0,801.0,815.0,815.0,416300
2019-07-31,830.0,838.0,820.0,827.0,827.0,238200
2019-08-01,817.0,827.0,813.0,817.0,817.0,292100
2019-08-02,802.0,808.0,772.0,777.0,777.0,409000
2019-08-05,757.0,757.0,706.0,732.0,732.0,514800
2019-08-06,702.0,740.0,696.0,733.0,733.0,458900
2019-08-07,735.0,759.0,727.0,737.0,737.0,584000
2019-08-08,682.0,691.0,587.0,592.0,592.0,4581900
2019-08-09,577.0,629.0,570.0,600.0,600.0,2161600
2019-08-13,590.0,633.0,585.0,609.0,609.0,943100
2019-08-14,619.0,639.0,615.0,624.0,624.0,689000
2019-08-15,614.0,623.0,597.0,604.0,604.0,571400
2019-08-16,597.0,610.0,586.0,595.0,595.0,595400
2019-08-19,599.0,618.0,599.0,607.0,607.0,412100
2019-08-20,613.0,634.0,609.0,632.0,632.0,378100
2019-08-21,631.0,643.0,626.0,638.0,638.0,365600
2019-08-22,642.0,654.0,626.0,630.0,630.0,403800
2019-08-23,634.0,651.0,633.0,648.0,648.0,342600
2019-08-26,631.0,644.0,620.0,642.0,642.0,317100
2019-08-27,652.0,653.0,635.0,635.0,635.0,191000
2019-08-28,646.0,654.0,629.0,633.0,633.0,487300
2019-08-29,635.0,646.0,625.0,636.0,636.0,201200
2019-08-30,646.0,658.0,637.0,654.0,654.0,293800
2019-09-02,664.0,680.0,658.0,675.0,675.0,366000
2019-09-03,671.0,695.0,670.0,692.0,692.0,212200
2019-09-04,689.0,703.0,689.0,700.0,700.0,281800
2019-09-05,705.0,736.0,700.0,707.0,707.0,805100
2019-09-06,722.0,751.0,722.0,738.0,738.0,719200
2019-09-09,735.0,755.0,731.0,750.0,750.0,402200
2019-09-10,758.0,764.0,707.0,715.0,715.0,673500
2019-09-11,713.0,734.0,707.0,733.0,733.0,402800
2019-09-12,737.0,744.0,728.0,728.0,728.0,282000
2019-09-13,733.0,736.0,722.0,722.0,722.0,532200
2019-09-17,714.0,714.0,669.0,669.0,669.0,747300
2019-09-18,669.0,670.0,638.0,647.0,647.0,641700
2019-09-19,645.0,682.0,634.0,674.0,674.0,628400
2019-09-20,677.0,709.0,675.0,700.0,700.0,547800
2019-09-24,711.0,739.0,711.0,733.0,733.0,371900
2019-09-25,739.0,753.0,733.0,739.0,739.0,393800
2019-09-26,749.0,783.0,749.0,767.0,767.0,556700
2019-09-27,771.0,786.0,764.0,766.0,766.0,423500
2019-09-30,748.0,756.0,732.0,746.0,746.0,322600
2019-10-01,737.0,758.0,731.0,743.0,743.0,222400
2019-10-02,733.0,749.0,720.0,724.0,724.0,356700
2019-10-03,712.0,731.0,706.0,716.0,716.0,331100
2019-10-04,718.0,749.0,716.0,749.0,749.0,306400
2019-10-07,761.0,770.0,753.0,769.0,769.0,215300
2019-10-08,770.0,807.0,765.0,770.0,770.0,455500
2019-10-09,759.0,790.0,758.0,783.0,783.0,319900
2019-10-10,788.0,788.0,761.0,762.0,762.0,234100
2019-10-11,771.0,774.0,752.0,755.0,755.0,219800
2019-10-15,767.0,767.0,750.0,753.0,753.0,179800
2019-10-16,766.0,772.0,755.0,764.0,764.0,331100
2019-10-17,766.0,767.0,755.0,760.0,760.0,172900
2019-10-18,756.0,760.0,738.0,739.0,739.0,222100
2019-10-21,739.0,743.0,712.0,715.0,715.0,231700
2019-10-23,707.0,714.0,696.0,704.0,704.0,352000
2019-10-24,704.0,722.0,703.0,717.0,717.0,155300
2019-10-25,729.0,757.0,725.0,757.0,757.0,262200
2019-10-28,752.0,753.0,735.0,750.0,750.0,115400
2019-10-29,760.0,770.0,751.0,756.0,756.0,161200
2019-10-30,754.0,758.0,732.0,751.0,751.0,250100
2019-10-31,762.0,771.0,746.0,748.0,748.0,167700
2019-11-01,744.0,768.0,741.0,765.0,765.0,262800
2019-11-05,770.0,805.0,763.0,791.0,791.0,451600
2019-11-06,805.0,829.0,794.0,822.0,822.0,507800
2019-11-07,822.0,837.0,816.0,834.0,834.0,355000
2019-11-08,846.0,850.0,821.0,840.0,840.0,589000
2019-11-11,870.0,990.0,865.0,963.0,963.0,2938200
2019-11-12,948.0,994.0,935.0,979.0,979.0,1220200
2019-11-13,980.0,980.0,941.0,950.0,950.0,624600
2019-11-14,940.0,951.0,896.0,905.0,905.0,651700
2019-11-15,910.0,925.0,900.0,907.0,907.0,356300
2019-11-18,921.0,943.0,916.0,922.0,922.0,257700
2019-11-19,900.0,910.0,880.0,884.0,884.0,422400
2019-11-20,875.0,884.0,852.0,856.0,856.0,339000
2019-11-21,847.0,848.0,819.0,820.0,820.0,369100
2019-11-22,815.0,842.0,797.0,838.0,838.0,475000
2019-11-25,847.0,850.0,831.0,846.0,846.0,234000
2019-11-26,851.0,853.0,830.0,832.0,832.0,215700
2019-11-27,839.0,842.0,824.0,837.0,837.0,311200
2019-11-28,822.0,825.0,800.0,804.0,804.0,215600
2019-11-29,796.0,815.0,793.0,806.0,806.0,322700
2019-12-02,791.0,812.0,791.0,809.0,809.0,208400
2019-12-03,796.0,799.0,776.0,784.0,784.0,317500
2019-12-04,781.0,790.0,779.0,785.0,785.0,194800
2019-12-05,789.0,789.0,765.0,777.0,777.0,307700
2019-12-06,777.0,795.0,771.0,791.0,791.0,300600
2019-12-09,795.0,804.0,775.0,781.0,781.0,215000
2019-12-10,772.0,776.0,746.0,756.0,756.0,383800
2019-12-11,750.0,760.0,742.0,747.0,747.0,183900
2019-12-12,744.0,747.0,729.0,729.0,729.0,216300
2019-12-13,737.0,740.0,717.0,717.0,717.0,336500
2019-12-16,726.0,733.0,715.0,715.0,715.0,240900
2019-12-17,713.0,715.0,697.0,711.0,711.0,496500
2019-12-18,718.0,722.0,697.0,705.0,705.0,258500
2019-12-19,697.0,698.0,683.0,685.0,685.0,348200
2019-12-20,680.0,689.0,674.0,680.0,680.0,392300
2019-12-23,679.0,679.0,670.0,674.0,674.0,229300
2019-12-24,666.0,670.0,655.0,660.0,660.0,438400
2019-12-25,664.0,676.0,656.0,672.0,672.0,350100
2019-12-26,675.0,704.0,673.0,694.0,694.0,725300
2019-12-27,680.0,683.0,661.0,667.0,667.0,651500
2019-12-30,665.0,665.0,644.0,655.0,655.0,497400
